active_emergency_steps,budget_exhausted_steps,controller,effective_emergency_steps,environment_seed,episode,final_active_mode,final_biosphere,final_effective_mode,final_institution,final_justice,final_pressure,final_trust,first_irreversible_step,irreversible_entry,justice_floor_violation,master_seed,max_unknown_streak,min_estimated_cr,min_justice,phase,remaining_budget,requested_emergency_steps,requested_normal_steps,requested_precaution_steps,scenario,total_cost,trigger,true_boundary,unknown_steps
45,7,reserve,35,10500758203033181512,27,2,0.347889958,2,0.267115236,0.827298721,1.099946544,0.864478589,-1,0,0,101,0,-13.0,0.625718822,evaluation,0.0,48,23,1,baseline,4.0,reserve,1.118387542,0
39,9,threshold,32,14924415841012873659,28,2,0.375877123,2,0.43724924,0.910492062,1.029667139,0.929181019,69,1,0,101,0,-13.0,0.632219016,evaluation,0.0,42,21,9,baseline,4.0,threshold,0.926031689,0
44,9,threshold_hysteresis,32,14924415841012873659,28,2,0.375877123,2,0.43724924,0.910492062,1.029667139,0.929181019,69,1,0,101,0,-13.0,0.632219016,evaluation,0.0,47,21,4,baseline,4.0,threshold_hysteresis,0.926031689,0
45,10,reserve,35,14924415841012873659,28,2,0.416907232,2,0.431219104,0.890445215,0.989363704,0.922130067,70,1,0,101,0,-11.69524658,0.654167843,evaluation,0.0,48,23,1,baseline,4.0,reserve,0.926031689,0
45,10,threshold,32,9657700463228926703,29,2,0.307688103,2,0.148936361,0.807297766,1.373304583,0.829103667,63,1,0,101,0,-12.812428019,0.583238242,evaluation,0.0,48,19,5,baseline,4.0,threshold,0.984792352,0
45,10,threshold_hysteresis,32,9657700463228926703,29,2,0.307526031,2,0.129246095,0.796234734,1.381361056,0.815084259,63,1,0,101,0,-12.812428019,0.584666173,evaluation,0.0,48,18,6,baseline,4.0,threshold_hysteresis,0.984792352,0
49,11,reserve,35,9657700463228926703,29,2,0.343418357,2,0.091341017,0.763997676,1.36751602,0.788431529,63,1,0,101,0,-12.901936405,0.620286305,evaluation,0.0,52,18,2,baseline,4.0,reserve,0.984792352,0
15,0,threshold,15,15914732478456547115,30,1,0.472819831,1,0.482366161,0.745625098,0.698849803,0.961473002,-1,0,0,101,0,-9.554619671,0.63155947,evaluation,0.0042,15,26,31,baseline,3.9958,threshold,1.028186135,0
5,0,threshold_hysteresis,1,15914732478456547115,30,2,0.467315724,2,0.42595996,0.647399254,0.742775935,0.882648412,-1,0,0,101,0,-6.575004834,0.634705143,evaluation,0.1788,8,21,43,baseline,3.8212,threshold_hysteresis,1.028186135,0
24,0,reserve,20,15914732478456547115,30,2,0.534839624,2,0.531081731,0.7260933,0.709437526,0.910318322,-1,0,0,101,0,-7.048488521,0.663012907,evaluation,0.2824,27,36,9,baseline,3.7176,reserve,1.028186135,0
22,3,threshold,22,10106758933506429228,31,1,0.502008399,1,0.598024077,0.956217976,0.697824579,0.988023043,-1,0,0,101,0,-13.0,0.66885315,evaluation,0.0,22,28,22,baseline,4.0,threshold,0.959143559,0
24,5,threshold_hysteresis,24,10106758933506429228,31,1,0.518467787,1,0.582762713,0.960591318,0.680213732,0.973903809,-1,0,0,101,0,-11.525809663,0.670425555,evaluation,0.0,24,23,25,baseline,4.0,threshold_hysteresis,0.959143559,0
32,5,reserve,29,10106758933506429228,31,2,0.603814605,0,0.631965501,0.952314339,0.588642784,0.971776196,-1,0,0,101,0,-6.20993591,0.670676169,evaluation,0.0,35,34,3,baseline,4.0,reserve,0.959143559,0
43,10,threshold,32,14986149678524119254,32,2,0.377625765,2,0.193480936,0.771448898,1.080359146,0.863538304,71,1,0,101,0,-13.0,0.580140508,evaluation,0.0,46,19,7,baseline,4.0,threshold,1.057547855,0
45,10,threshold_hysteresis,32,14986149678524119254,32,2,0.377625765,2,0.193480936,0.771448898,1.080359146,0.863538304,71,1,0,101,0,-13.0,0.580140508,evaluation,0.0,48,19,5,baseline,4.0,threshold_hysteresis,1.057547855,0
51,11,reserve,37,14986149678524119254,32,2,0.446885701,2,0.228656401,0.765208024,0.9966552,0.869327548,-1,0,0,101,0,-11.388415564,0.628485037,evaluation,0.0,54,18,0,baseline,4.0,reserve,1.057547855,0
43,9,threshold,31,5162128058209992057,33,2,0.371437636,2,0.287222747,0.827890075,1.135304078,0.888945876,68,1,0,101,0,-12.579824645,0.610163107,evaluation,0.0,46,19,7,baseline,4.0,threshold,0.981651229,0
44,10,threshold_hysteresis,31,5162128058209992057,33,2,0.376594966,2,0.297130558,0.832817567,1.10327342,0.894782123,69,1,0,101,0,-12.579824645,0.610163107,evaluation,0.0,47,19,6,baseline,4.0,threshold_hysteresis,0.981651229,0
40,10,reserve,32,5162128058209992057,33,2,0.468485944,2,0.341790263,0.805917009,0.955440371,0.88906212,-1,0,0,101,0,-7.478289641,0.639466297,evaluation,0.0,43,26,3,baseline,4.0,reserve,0.981651229,0
42,8,threshold,31,11629872605873012480,34,2,0.418824402,2,0.105710101,0.831003585,1.084085739,0.846087714,-1,0,0,101,0,-12.771291032,0.561594559,evaluation,0.0,45,22,5,baseline,4.0,threshold,1.098007921,0
44,8,threshold_hysteresis,33,11629872605873012480,34,2,0.447121798,2,0.159361575,0.858309486,1.024242728,0.874938577,-1,0,0,101,0,-12.771291032,0.561594559,evaluation,0.0,47,22,3,baseline,4.0,threshold_hysteresis,1.098007921,0
38,3,reserve,32,11629872605873012480,34,2,0.502275394,2,0.181128584,0.798232885,0.980290743,0.837846051,-1,0,0,101,0,-13.0,0.616253149,evaluation,0.0,41,30,1,baseline,4.0,reserve,1.098007921,0
37,5,threshold,29,11606899095075825577,35,2,0.381647656,2,0.540907887,0.839564361,1.458712078,0.967047944,38,1,0,101,0,-9.309631468,0.641443973,evaluation,0.0,40,25,7,baseline,4.0,threshold,0.873548074,0
25,4,threshold_hysteresis,25,11606899095075825577,35,1,0.489338004,1,0.550700673,0.831558343,0.751191063,0.970609163,-1,0,0,101,0,-9.309631468,0.641443973,evaluation,0.0,25,25,22,baseline,4.0,threshold_hysteresis,0.873548074,0
31,3,reserve,31,11606899095075825577,35,0,0.509660868,0,0.580077868,0.826970093,0.748779615,0.979977872,-1,0,0,101,0,-9.874467118,0.656128569,evaluation,0.0,34,37,1,baseline,4.0,reserve,0.873548074,0
43,8,threshold,32,1147639510265880309,36,2,0.230713657,2,0.334308439,0.970421115,1.921180094,0.925815493,29,1,0,101,0,-13.0,0.62624546,evaluation,0.0,46,20,6,baseline,4.0,threshold,0.910010687,0
