arm,episode,t,true_boundary,pressure,observed_pressure,biosphere,institution,trust,justice,policy,support,audit,mode,mode_name,estimated_cr,hidden_cr,attempted_capture,effective_capture,cooperation_rate,defective_rate,performative_gap,backlash,irreversible
weak_coupling,0,60,0.9429685093,2.5986346927,2.6008435607,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0302152281,0.0700000000,0.1566502557,0,adaptive_normal,-13.0755249381,-14.6445879307,0.3120954893,0.2466569238,0.5802020927,0.4197979073,0.2768501109,0.0838933762,1
weak_coupling,0,61,0.9429685093,2.6531522924,2.5950611171,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0303542230,0.0700000000,0.1568327347,0,adaptive_normal,-15.1079799216,-16.9209375122,0.9889940500,0.7814744835,0.0499710327,0.9500289673,0.5337569951,0.0839607656,1
weak_coupling,0,62,0.9429685093,2.6942260184,2.6079219450,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0302690093,0.0700000000,0.1569699223,0,adaptive_normal,-12.2941023003,-13.7693945763,0.0519001103,0.0410042915,0.7820552456,0.2179447544,0.2000426261,0.0839194511,1
weak_coupling,0,63,0.9429685093,2.7441703919,2.7046545890,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0304856777,0.0700000000,0.1571479898,0,adaptive_normal,-14.3055685173,-16.0222367394,0.7219526976,0.5702766892,0.2779492657,0.7220507343,0.4452295338,0.0840244993,1
weak_coupling,0,64,0.9429685093,2.7849368127,2.7017037549,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0304744058,0.0700000000,0.1572840895,0,adaptive_normal,-15.0735790406,-16.8824085255,0.9779565385,0.7723878855,0.1342722011,0.8657277989,0.4940033090,0.0840190344,1
weak_coupling,0,65,0.9429685093,2.8346824351,2.8026867614,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0303841162,0.0700000000,0.1574022402,0,adaptive_normal,-13.8587294108,-15.5217769401,0.5732727679,0.4527159582,0.3655866666,0.6344133334,0.3776082769,0.0839752589,1
weak_coupling,0,66,0.9429685093,2.8878357029,2.8425265868,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0304272818,0.0700000000,0.1575325813,0,adaptive_normal,-15.0905988753,-16.9014707403,0.9838952400,0.7768800168,0.1232891889,0.8767108111,0.5012113145,0.0839961870,1
weak_coupling,0,67,0.9429685093,2.9370246300,2.8776745568,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0303386196,0.0700000000,0.1576396912,0,adaptive_normal,-13.8451984327,-15.5066222447,0.5689185890,0.4491679451,0.3743147825,0.6256852175,0.3722947296,0.0839532005,1
weak_coupling,0,68,0.9429685093,2.9912924764,2.9433612020,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0303867818,0.0700000000,0.1577582937,0,adaptive_normal,-15.1219426101,-16.9365757233,0.9945864389,0.7851397361,0.0341118893,0.9658881107,0.5416259410,0.0839765512,1
weak_coupling,0,69,0.9429685093,3.0385411949,3.0571591242,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0302977649,0.0700000000,0.1578552196,0,adaptive_normal,-13.0694612906,-14.6377966455,0.3104352177,0.2450380596,0.6029612135,0.3970387865,0.2673899374,0.0839333928,1
weak_coupling,0,70,0.9429685093,3.0868712782,3.0304717304,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0304305573,0.0700000000,0.1579721289,0,adaptive_normal,-15.0825410492,-16.8924459751,0.9816550237,0.7747586168,0.1150685912,0.8849314088,0.5056789642,0.0839977751,1
weak_coupling,0,71,0.9429685093,3.1294068200,3.1067010588,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0303424989,0.0700000000,0.1580602478,0,adaptive_normal,-15.1139993129,-16.9276792305,0.9922621960,0.7830618247,0.0540155704,0.9459844296,0.5341933958,0.0839550814,1
nominal_trigger,0,0,0.9429685093,0.3250645574,0.2836324949,0.8153966308,0.6057981676,0.6777514805,0.6650889987,0.0776000000,0.1000000000,0.1370052000,0,adaptive_normal,190.8304320579,30.9969139104,1.0790859518,0.7337586956,0.1186297035,0.8813702965,0.5649113790,0.0317249847,0
nominal_trigger,0,1,0.9429685093,0.3444674191,0.2222211144,0.8089201231,0.5711649522,0.6545796140,0.6493737385,0.0755554081,0.1000000000,0.1471088945,0,adaptive_normal,208.2962003439,24.8209253023,1.0871993820,0.7338276207,0.0281858580,0.9718141420,0.5961668180,0.0308132183,0
nominal_trigger,0,2,0.9429685093,0.3636130370,0.3259384721,0.8019021532,0.5367150137,0.6314480696,0.6335496411,0.0737978081,0.1000000000,0.1557156953,0,adaptive_normal,22.9905129864,21.0587621751,1.0819483439,0.7259682175,0.0364922313,0.9635077687,0.5916117120,0.0300294332,0
nominal_trigger,0,3,0.9429685093,0.3773085896,0.3745326758,0.7971664643,0.5111961617,0.6144058731,0.6226945111,0.0722748728,0.1000000000,0.1630992491,0,adaptive_normal,10.5707013424,22.8533455709,0.7958299798,0.5314309751,0.2359843603,0.7640156397,0.5000043676,0.0293502947,0
nominal_trigger,0,4,0.9429685093,0.4018724335,0.4068092438,0.7892970225,0.4769171531,0.5912785474,0.6067492822,0.0710237272,0.1000000000,0.1700632299,0,adaptive_normal,7.6710236016,15.4627330722,1.0798493972,0.7175361278,0.0322220129,0.9677779871,0.5893188902,0.0287923581,0
nominal_trigger,0,5,0.9429685093,0.4224009705,0.4467015263,0.7810695772,0.4427432785,0.5682087690,0.5908090093,0.0698414923,0.1000000000,0.1755029860,0,adaptive_normal,4.3670226318,13.3104518440,1.0765822785,0.7131932866,0.0275004310,0.9724995690,0.5873804102,0.0282651517,0
nominal_trigger,0,6,0.9429685093,0.4454258087,0.4204533498,0.7748215589,0.4096207589,0.5464548399,0.5765917965,0.0687857619,0.1000000000,0.1801971660,0,adaptive_normal,26.2048734468,10.4779996824,1.0710677572,0.7078519356,0.0380058564,0.9619941436,0.5768141697,0.0277943587,0
nominal_trigger,0,7,0.9429685093,0.4693821502,0.3933754584,0.7707492305,0.3896117592,0.5337153270,0.5688639259,0.0678338923,0.1000000000,0.1842649824,0,adaptive_normal,160.1673754705,9.2493130482,0.6195877825,0.4086521728,0.3554373186,0.6445626814,0.4017739340,0.0273698815,0
nominal_trigger,0,8,0.9429685093,0.4915721343,0.4313950320,0.7617751154,0.3558192728,0.5110201539,0.5529822426,0.0671439819,0.1000000000,0.1883381028,0,adaptive_normal,30.7218283074,6.6719658362,1.0626012439,0.6989492731,0.0724372744,0.9275627256,0.5684399671,0.0270622225,0
nominal_trigger,0,9,0.9429685093,0.5129136758,0.4651404067,0.7564554301,0.3236324716,0.4906108309,0.5398901542,0.0663369999,0.1000000000,0.1914035045,0,adaptive_normal,14.8017884890,5.6864380988,1.0558163014,0.6938191403,0.1175892923,0.8824107077,0.5362564222,0.0267023565,0
nominal_trigger,0,10,0.9429685093,0.5415611537,0.5220107013,0.7488874563,0.2957419157,0.4491945605,0.5268854058,0.0655868834,0.1000000000,0.1940790629,0,adaptive_normal,3.3258723763,3.3452088863,0.7842565476,0.5148944658,0.2766834709,0.7233165291,0.4647256855,0.0963678492,0
nominal_trigger,0,11,0.9429685093,0.5611878564,0.5150815676,0.7399580886,0.2680375917,0.4074811940,0.5134951852,0.0649656885,0.1000000000,0.1965753751,0,adaptive_normal,12.7026317561,3.3769903111,0.7611407491,0.4993315431,0.2791246323,0.7208753677,0.4790169966,0.0960908332,0
nominal_trigger,0,12,0.9429685093,0.5800750801,0.6185228171,0.7342581807,0.2530659260,0.3748788350,0.5071033767,0.0643836354,0.1000000000,0.1987710078,0,adaptive_normal,-2.7246436752,4.4660821683,0.3327940170,0.2182197610,0.5616219941,0.4383780059,0.3113191392,0.0958312721,0
nominal_trigger,0,13,0.9429685093,0.5997041526,0.5848057672,0.7266936833,0.2325662763,0.3382498653,0.4975116055,0.0640118489,0.1000000000,0.2009568815,0,adaptive_normal,7.8179072917,3.4230217390,0.5088425606,0.3332558177,0.4463571515,0.5536428485,0.3858382686,0.0956654775,0
nominal_trigger,0,14,0.9429685093,0.6240514648,0.6109921127,0.7172341022,0.1966823606,0.2918275769,0.4811189155,0.0635792482,0.1000000000,0.2027837170,0,adaptive_normal,3.9167275180,-0.0607543405,1.0584031494,0.6927931933,0.0597180113,0.9402819887,0.5642504878,0.0954725633,0
nominal_trigger,0,15,0.9429685093,0.6441724866,0.6511998962,0.7085007473,0.1685119862,0.2504080487,0.4682964668,0.0629212878,0.1000000000,0.2041341779,0,adaptive_normal,-0.1317791482,0.0466276221,0.7777705933,0.5093958846,0.2649978331,0.7350021669,0.4778454545,0.0951791521,0
